# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596371]
# -beagle_SSE ../mugration_nosample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11
360000	0.45666145783597034	-2.1004936396739717	-0.9054519326649213	3.4626011043302825	-1.0753378570882506	-1.5532293929456953	-3.0980131121329837	0.8022580724484174	3.330818926368246	-1.1686433952363817	-0.5043252842881989	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.45666145783597034	-0.0	-0.0	0.0	-1.0753378570882506	-0.0	-0.0	0.0	0.0	-0.0	-0.5043252842881989
380000	0.5595985524958231	0.6397173572053176	1.9051029906471173	-1.0995457895473961	-0.80034841852882	3.1332021121742857	1.9463958458572996	0.3888459247292157	-0.08464870837294602	-2.403956391520048	-0.782647751032981	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5595985524958231	0.0	0.0	-0.0	-0.80034841852882	0.0	0.0	0.0	-0.0	-0.0	-0.782647751032981
400000	0.37945226425184864	0.6127934228062794	-1.2756871724427064	1.332633031849225	-1.0181545733470747	0.4787713070407198	0.16811101537051595	-3.1069172667649916	2.000129793455696	2.6218536866670945	0.15263362092501906	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37945226425184864	0.0	-0.0	0.0	-1.0181545733470747	0.0	0.0	-0.0	0.0	0.0	0.0
420000	0.563389465938212	-0.2834025045650852	1.2007350253967	-0.2645161951535534	-0.44837912695435406	-0.9449758942085924	-0.24714940869514637	-1.7848520133859638	-0.6911983296923427	2.819922433525533	-0.5667073588704863	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.563389465938212	-0.0	0.0	-0.0	-0.44837912695435406	-0.0	-0.0	-0.0	-0.0	0.0	-0.5667073588704863
440000	0.6246800533439133	-0.6560367596982535	1.4497708339635578	-0.14965331819291414	-0.7698533815554517	-1.8957337405175863	-3.966027838557771	4.700607430092229	-5.606639093855846	1.4587273362679316	-0.7421583683171358	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6246800533439133	-0.0	0.0	-0.0	-0.7698533815554517	-0.0	-0.0	0.0	-0.0	0.0	-0.7421583683171358
460000	0.8843858116910669	1.0497682492060487	2.0705553748729058	-1.4368810337708025	-0.5812797460078669	-3.383500826411747	-3.18545753159341	1.3150715293740391	-4.678174322665139	-1.6395425265904608	-0.8858019721977058	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.8843858116910669	0.0	0.0	-0.0	-0.5812797460078669	-0.0	-0.0	0.0	-0.0	-0.0	-0.8858019721977058
480000	0.6334023147877743	-2.1303047328775917	0.475818966220998	-1.8419889190434402	-0.6747912033249744	2.7384404921697736	-1.1943050611051638	-0.7705884893782516	1.5193888492383907	-0.7176626228217832	-0.3335206400358075	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6334023147877743	-0.0	0.0	-0.0	-0.6747912033249744	0.0	-0.0	-0.0	0.0	-0.0	-0.3335206400358075
500000	0.5525346516112827	-2.807565485682682	0.0439378784032877	2.8512048965371792	-0.585516800318583	1.5183648410784296	-2.9550164733846453	1.2341505593606914	-3.6873705326355366	-0.508989334976264	-0.5346753427008812	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5525346516112827	-0.0	0.0	0.0	-0.585516800318583	0.0	-0.0	0.0	-0.0	-0.0	-0.5346753427008812
520000	0.5487325489827743	-0.3535119542055066	-1.4266599706074183	-0.03269662685919627	-0.5840679825373959	0.030923494913790765	1.8696936572126055	-1.1967959573842337	-1.2579808561428405	3.3548061885841753	-0.34961676017845944	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5487325489827743	-0.0	-0.0	-0.0	-0.5840679825373959	0.0	0.0	-0.0	-0.0	0.0	-0.34961676017845944
540000	0.3969256750633013	-2.1528338510419953	-3.528601685315534	1.2530286552158743	-0.9052140381466056	-0.27833089888063434	1.924290747010224	1.8905006678799285	-0.5636114452108814	-0.056314196025793295	-0.18167986873726516	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3969256750633013	-0.0	-0.0	0.0	-0.9052140381466056	-0.0	0.0	0.0	-0.0	-0.0	-0.0
