# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:59 CST 2019 [seed=1551058978230]
# -beagle_SSE DTA_385_nosample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
200000	-51360.97649039081	-4840.0985632705015	-46520.87792712031	63.946582085278735	1950.9739658599267	2226.382699506405	213.06093297320928	277.46577238043193	182.1839583209379	396.9442261861647	144.65766738006582	306.3784324226942	262.5422616492959	60.44687258480403	126.09059896186099	52.38594018839863	30.0	5.0	59.0	49.0	20.0	59.0	67.0	14.0	36.0	45.0	8.747445209415046	0.431936471911695	0.0019948342302046713	0.009478411716587429	0.0019948342302046717	0.009478411716587415	5.0	-0.0	-0.0	-0.40074872237113257	1.8806309669139196	-0.851458345120542	0.0	-0.0	-0.0	-0.0	-1.2764609501002213	-0.828757695257036	-46264.040131698	0.0	0.0	-256.83779542230815	-2421.479410925464
220000	-51297.5090748186	-4842.35581951105	-46455.153255307545	66.00256812218522	1948.9179798230202	2202.9678696049195	168.78168687163077	620.7228800332639	254.20429943981793	203.61554880581966	297.1053974963978	312.6557140795794	240.80297974636605	73.32393564934053	102.05388462298795	48.69292559846843	21.0	2.0	68.0	37.0	29.0	56.0	79.0	5.0	38.0	49.0	8.739521315179218	0.4329850444115761	0.002037263590999298	0.017154700878471086	0.0020372635909992947	0.01715470087847108	2.0	0.4277164942222817	-0.0	0.0	-0.0	-0.7612082486404851	-0.0	0.0	0.0	-0.0	0.0	0.0	-46199.545771339355	0.0	0.0	-255.60748396819062	-2413.338988286936
240000	-51242.38227923005	-4792.93138284497	-46449.45089638508	60.41166610045776	1954.5088818447477	2101.180239734597	187.0857144594827	215.57639802376283	221.7624628185965	225.44326940491484	387.91462564930197	152.98320540224307	255.07425087730454	220.61121235533923	88.7433011785601	49.420956953456844	30.0	8.0	65.0	34.0	41.0	56.0	64.0	9.0	31.0	46.0	9.055291938824142	0.4639913714601884	0.0022555782834508425	0.00801424545069728	0.002255578283450845	0.008014245450697278	1.0	0.5568257727032988	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-46165.13553926282	0.0	0.0	-284.31535712226633	-2385.940237889286
260000	-51233.308794816316	-4798.830650379865	-46434.47814443645	62.90270484649685	1952.0178430987087	2104.2717074023562	148.5879926743042	462.49782643584564	185.73419123595923	260.4733722365263	316.11386049176497	236.5239169151377	313.90633203871914	509.3115364448279	137.481284342673	62.21741111352158	31.0	5.0	64.0	35.0	40.0	57.0	62.0	2.0	37.0	51.0	8.64134542748533	0.44916188446982536	0.002165497522516988	0.013252741903748	0.0021654975225169856	0.013252741903748005	2.0	0.515069116709627	0.0	0.0	0.0	-0.6999053606619481	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-46176.03332071639	0.0	0.0	-258.44482372005854	-2378.40047751688
280000	-51199.484835581636	-4775.7421126007175	-46423.74272298092	61.6387965926943	1953.2817513525113	2029.9748177681474	200.41606497136206	138.7018321481585	163.44261786577832	193.1254360616699	277.9621218738579	191.82488124146616	224.08958932677209	160.95741967433048	125.6143515814139	68.61534603806668	38.0	4.0	39.0	39.0	47.0	75.0	58.0	3.0	33.0	48.0	8.600301156698553	0.4342690897379369	0.0022869603535811867	0.010073282255396627	0.002286960353581186	0.01007328225539663	3.0	0.2903404398355454	-0.0	-0.0	0.0	-0.6219564770589472	-0.0	-0.0	-0.0	-0.0	-0.7084721291844918	0.0	-46157.42873079523	0.0	0.0	-266.3139921856836	-2361.8910250299227
300000	-51126.67305485616	-4745.957170638092	-46380.71588421807	57.663437954892906	1957.2571099903125	1947.2769922422979	192.93335765832396	370.0114260044759	132.80083499776427	281.5271754975455	164.60810173584264	253.15546269128876	218.0381280294912	60.10542060660191	97.12062838785612	48.84391452427465	23.0	16.0	45.0	21.0	35.0	87.0	72.0	10.0	31.0	44.0	8.83196647189694	0.42128107936729775	0.002291717964539268	0.013705330573483077	0.002291717964539267	0.013705330573483072	2.0	0.48520421249868073	0.0	-0.0	-0.0	-0.6531291778852081	0.0	-0.0	-0.0	0.0	0.0	0.0	-46121.662789554495	0.0	0.0	-259.0530946635807	-2329.652820157873
320000	-50927.19499416139	-4721.435668072797	-46205.7593260886	56.09757013240105	1958.8229778128045	1886.7753872568453	361.7454276800027	263.0221735964387	88.33709824707624	255.97837411413497	255.07618769206798	189.2866311919097	170.10196093369447	77.55570052822729	76.38302140388835	48.29345866483846	5.0	33.0	49.0	12.0	34.0	96.0	71.0	12.0	33.0	39.0	8.360257931783732	0.4334886011004692	0.002412356960050681	0.01473466057287239	0.0024123569600506805	0.0147346605728724	1.0	0.0	0.0	-0.0	0.0	-1.2132121906178832	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-45934.52940559029	0.0	0.0	-271.2299204983082	-2306.5753783857754
340000	-50873.49987439632	-4700.500439950674	-46172.99943444565	56.45129764323862	1958.469250301967	1849.907687320609	106.07636669009145	225.44929481091864	142.844169299572	188.65224876382885	186.105626181949	200.9974223541876	205.87504036891426	39.952694818254585	69.0687695280043	43.24871243969592	16.0	23.0	40.0	12.0	52.0	76.0	80.0	7.0	43.0	35.0	8.086174204313995	0.4440107090754817	0.002439948338555881	0.008976343322280807	0.0024399483385558825	0.008976343322280811	3.0	0.45136498159063054	0.0	-0.0	1.2087906728401794	-0.0	-0.0	-0.0	-0.0	0.0	-0.6598139670441394	0.0	-45907.67208294377	0.0	0.0	-265.32735150188	-2296.384150529102
360000	-50899.42000336775	-4717.442058804665	-46181.977944563085	57.86295575591221	1957.0575921892932	1859.1667058288285	150.03652612028122	300.9607580631073	195.1467333540612	188.443784360694	207.3328161480657	241.8009836064605	193.2785987548563	105.22987826439478	76.79360175559128	40.30157756748121	20.0	19.0	54.0	6.0	52.0	71.0	76.0	7.0	46.0	33.0	8.700141953766792	0.42783019813737083	0.002434768924599973	0.012435373050040253	0.002434768924599974	0.012435373050040246	2.0	0.39815701066323617	0.0	0.0	-0.0	-0.7895605714954462	-0.0	-0.0	-0.0	0.0	0.0	0.0	-45925.84018365991	0.0	0.0	-256.1377609031784	-2306.245201045519
380000	-50871.14960918149	-4730.703912339053	-46140.44569684244	58.78899863079721	1956.1315493144084	1858.594672147749	127.17068302979953	230.4693898695565	90.74434322173025	166.38471985223245	187.53212181603666	211.1810986485249	156.63224388139068	213.34486330896956	87.09425615861802	33.09491234643786	17.0	24.0	43.0	5.0	59.0	45.0	85.0	20.0	56.0	30.0	8.393205944488793	0.4596175712410085	0.0025434612234422186	0.01669769799112843	0.00254346122344222	0.016697697991128444	3.0	0.5573706227219943	0.0	-0.0	-0.0	-0.9426660499581918	-0.0	-0.0	-0.0	-0.0	-0.0	-0.3902649633766809	-45895.812337023555	0.0	0.0	-244.6333598188893	-2308.920428021353
400000	-50840.58218061751	-4688.0768627886855	-46152.50531782882	55.09302763474504	1959.8275203104604	1782.0436640928058	106.41826691947396	226.5537044241109	132.5212797198043	91.99819165928672	167.05960411753966	230.98114447151477	135.20918985084862	306.30314156064077	60.01705866590465	36.41906761468524	22.0	20.0	51.0	5.0	75.0	32.0	79.0	14.0	57.0	29.0	8.461484088256064	0.46854049745289034	0.002553913311766469	0.014263176113493956	0.002553913311766468	0.014263176113493972	3.0	0.5798091092596535	0.0	0.0	0.0	-0.6910811206455366	-0.0	0.0	0.0	-0.0	-0.0	-0.5229196200641033	-45902.717932865584	0.0	0.0	-249.7873849632406	-2273.1028644910866
420000	-50771.3901157656	-4654.7287350566985	-46116.6613807089	56.052212507231076	1958.8683354379743	1703.2827209879097	158.05612144031852	255.16483959099307	103.73747352642084	206.17716949081117	220.481287371189	70.14740294645854	130.6738538062212	159.82061306294966	56.58136052092302	48.92270988105165	28.0	15.0	47.0	6.0	100.0	19.0	89.0	4.0	60.0	16.0	8.503361479664084	0.44940215312015785	0.0026778206937896217	0.014818257657135887	0.002677820693789621	0.014818257657135884	2.0	0.49317841760337067	-0.0	-0.0	0.0	-0.6034134677872139	-0.0	0.0	-0.0	0.0	0.0	-0.0	-45862.860463526675	0.0	0.0	-253.80091718222724	-2244.2086740600566
440000	-50761.10513090175	-4662.270444502854	-46098.8346863989	54.82701178097902	1960.0935361642264	1708.9435069205167	161.96884672967377	299.1600394985324	129.37871059484084	218.60252607717905	183.86305621435991	119.52660473820997	164.1046039383662	84.6409663444906	52.080280520725985	9.795063224718653	29.0	19.0	58.0	2.0	86.0	13.0	93.0	13.0	66.0	5.0	8.308773337133395	0.4270839484416934	0.002734091236401692	0.015940399042189548	0.002734091236401695	0.01594039904218954	2.0	-0.0	-0.0	0.0	1.2203178122277776	-0.7106257762894871	-0.0	0.0	0.0	-0.0	0.0	-0.0	-45841.66842399558	0.0	0.0	-257.16626240331675	-2248.3819140458845
460000	-50783.41412033022	-4662.874311547253	-46120.53980878297	53.48934656372369	1961.4312013814817	1696.7593040217052	143.4270870116654	122.0576733312454	188.6018959245776	170.8259095366315	195.882319297359	65.60591472395905	164.88647074590227	154.95111006173238	39.70874220826298	7.853929792004654	37.0	43.0	31.0	1.0	83.0	8.0	93.0	14.0	68.0	6.0	8.887553914913987	0.4517819253662988	0.0027741815078929184	0.01691944037544296	0.0027741815078929084	0.016919440375442924	2.0	0.3755048082665191	0.0	-0.0	0.0	-0.6770832234279809	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-45866.75818616033	0.0	0.0	-253.78162262263834	-2240.5333050827912
480000	-50740.033079291636	-4624.971623514267	-46115.061455777366	52.44207292131745	1962.478475023888	1634.2525097836988	165.6598436641127	120.3192353045915	141.25481523280004	181.88966191733243	187.93307785381555	27.60390762216956	134.22301103757852	131.7935589746992	61.69942812523807	7.21950224599997	46.0	37.0	32.0	1.0	82.0	9.0	89.0	15.0	67.0	6.0	8.500798104430634	0.4358688197635241	0.0027665174993766785	0.016062103096792162	0.0027665174993766763	0.016062103096792166	2.0	-0.0	0.0	-0.0	1.451762920984461	-1.0109154272146963	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-45856.7231670639	0.0	0.0	-258.33828871346486	-2210.3771191613528
500000	-50722.03436689823	-4631.606236829604	-46090.42813006863	54.740556879604696	1960.179991065601	1628.904201093347	168.080296303041	106.0754619290198	154.93166756351488	299.1929393850416	178.13288153688327	117.32880170960806	145.01429475224154	100.04666308579367	44.23472179078256	11.021768331677832	50.0	39.0	26.0	1.0	91.0	4.0	84.0	16.0	66.0	7.0	8.74481061038459	0.4617070082494712	0.0027999269148553845	0.01659006657683668	0.0027999269148553814	0.016590066576836645	3.0	-0.0	-0.0	-0.0	1.2774581440602637	-0.8807020628096192	-0.0	0.0	-0.0	-0.0	-0.6103469420222487	-0.0	-45840.598679190196	0.0	0.0	-249.82945087842802	-2216.016710676713
520000	-50676.46331516252	-4604.112812700525	-46072.350502461995	49.13174203592855	1965.788805909277	1569.5354423869915	141.08553483300307	108.99720367019644	192.69168149428657	179.92838140322354	184.10010285667323	140.27994310808586	130.14826914718836	145.49230295877294	38.135617996088214	5.244318280511554	41.0	51.0	20.0	17.0	64.0	14.0	92.0	10.0	70.0	5.0	8.55533351224621	0.45210453228232483	0.0030256389733984506	0.01861228310702216	0.003025638973398451	0.01861228310702214	2.0	0.3749051420001763	-0.0	-0.0	0.0	-0.7949238868831334	-0.0	0.0	0.0	0.0	-0.0	0.0	-45822.42340058893	0.0	0.0	-249.92710187306218	-2191.803262801678
