# BEAST v1.10.0 Prerelease #VEME2017
# Generated Thu Aug 02 12:26:40 NZST 2018 [seed=1533169596303]
# -beagle_SSE ../mugration_sample_tight.xml
state	location.coefficients1	location.coefficients2	location.coefficients3	location.coefficients4	location.coefficients5	location.coefficients6	location.coefficients7	location.coefficients8	location.coefficients9	location.coefficients10	location.coefficients11	location.coefficients12	location.coefficients13	location.coefIndicators1	location.coefIndicators2	location.coefIndicators3	location.coefIndicators4	location.coefIndicators5	location.coefIndicators6	location.coefIndicators7	location.coefIndicators8	location.coefIndicators9	location.coefIndicators10	location.coefIndicators11	location.coefIndicators12	location.coefIndicators13	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20000	0.3555123687954355	-0.16190337765633642	2.5457157606893634	0.5140724611873614	2.386884578600911	-0.38721733893795124	-4.823239535638476	0.3726835810243123	-1.226349410707401	-1.912594465522525	0.9125962532685609	1.4893590782822461	0.6659283802324846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	1.4893590782822461	0.6659283802324846
40000	-2.8222497918509615	0.7544016640150187	2.238520036103594	1.752217286330123	0.8718392341488502	-2.626778331888328	-1.140024155878952	2.4786917840953233	2.4899776328345724	-1.8766715587106098	-1.1842681176884835	1.2848511806133878	0.568852082383292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	1.2848511806133878	0.568852082383292
60000	2.694531520365899	-3.5495565729144967	-0.31519483734081116	-2.484759173437782	-0.7596582659838186	1.0231578444010638	-0.33651433035771144	-0.8903917859268365	3.218022438795553	-0.8765226984993759	0.5022298186855007	1.4995016721851153	0.4546834062750386	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	-0.0	-0.0	-0.0	-0.7596582659838186	1.0231578444010638	-0.0	-0.8903917859268365	0.0	-0.8765226984993759	0.0	1.4995016721851153	0.4546834062750386
80000	-1.3561612322348187	0.5091377701739653	-0.952488604369194	0.3811743054854642	-1.138570263535246	2.966817933366359	4.396508329872635	-1.297487078712122	0.5307998634040105	-1.494517275044906	3.276720447416564	3.767775175960631	-1.330051357439309	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	-0.0	0.0	-0.0	0.3811743054854642	-1.138570263535246	2.966817933366359	0.0	-1.297487078712122	0.5307998634040105	-1.494517275044906	0.0	3.767775175960631	-0.0
100000	0.280710506943795	-4.339306788258954	-2.578362145564295	0.8581668288711957	-1.0837467974337482	3.897928350757361	-1.1956049286124186	-1.187807337084117	0.41538783817331526	-2.762695372788583	-0.25449437051422225	4.467888997211436	0.13127112881699554	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.280710506943795	-0.0	-0.0	0.0	-1.0837467974337482	3.897928350757361	-0.0	-1.187807337084117	0.41538783817331526	-2.762695372788583	-0.25449437051422225	4.467888997211436	0.0
120000	0.46778244098179644	-3.449892835645224	-3.6461099565768937	-1.9010391902800254	-0.9788868902492075	2.2198474039607277	-1.367203433237656	-0.8001835084785749	-0.3733186776815507	-1.3727540556248876	-0.4296699867880356	2.574488849749027	0.3615921233259501	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.46778244098179644	-0.0	-0.0	-0.0	-0.9788868902492075	2.2198474039607277	-0.0	-0.8001835084785749	-0.0	-1.3727540556248876	-0.4296699867880356	2.574488849749027	0.0
140000	0.4724326319715535	0.9819712997996773	1.477163675954955	1.9883393084743999	-0.788866992238035	2.9424019690822343	1.126800667987701	-0.9524662618351712	2.7535383013743293	-1.9245061273473503	-0.729728815873541	3.399335928546972	-2.507610822797721	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.4724326319715535	0.0	0.0	0.0	-0.788866992238035	2.9424019690822343	0.0	-0.9524662618351712	0.0	-1.9245061273473503	-0.729728815873541	3.399335928546972	-0.0
160000	0.44575232005434334	0.1644816077423581	-3.2528029708819344	1.1904144500397495	-0.77081657781471	2.3269332698891976	3.806629382242187	-0.5033261463131796	-0.5447125749438354	-1.9336439393383835	-0.5272253489278033	2.515414705862735	-2.4663740778095224	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.44575232005434334	0.0	-0.0	0.0	-0.77081657781471	2.3269332698891976	0.0	-0.5033261463131796	-0.0	-1.9336439393383835	-0.5272253489278033	2.515414705862735	-0.0
180000	0.5889614118138836	2.4851034328212944	-4.501660916025996	3.8831869388427105	-1.2059215083219004	3.1060219170275314	1.7147691023611356	-0.7343122097247433	-2.350503358041223	-2.4114567664435405	-0.776221949697701	3.3889098075412054	-0.12245630140725594	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.5889614118138836	0.0	-0.0	0.0	-1.2059215083219004	3.1060219170275314	0.0	-0.7343122097247433	-0.0	-2.4114567664435405	-0.776221949697701	3.3889098075412054	-0.0
200000	0.47023131179632494	0.945630102005655	-2.7722800966260985	1.1107654815415686	-0.8785643015484987	1.3948651310898963	-0.5823859949115472	1.4923342918828943	-2.3276096812459772	-0.7989802488180759	-0.3873238870740505	1.6755868344457636	-1.7939696268147594	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.47023131179632494	0.0	-0.0	0.0	-0.8785643015484987	1.3948651310898963	-0.0	0.0	-0.0	-0.7989802488180759	-0.3873238870740505	1.6755868344457636	-0.0
220000	0.3867703446886385	-3.2885259746511544	-3.1116551479084045	-1.3658306578093706	-1.254261669838454	0.2868372696488622	-2.8397889407713945	0.9154247919991625	-0.1454441927106323	-0.38014180347684734	-0.5708492383019088	0.8372369912445162	-1.8916947698616857	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.3867703446886385	-0.0	-0.0	-0.0	-1.254261669838454	0.2868372696488622	-0.0	0.0	-0.0	-0.0	-0.5708492383019088	0.8372369912445162	-0.0
240000	-1.283793849754358	1.0731203833458804	0.8329173045469829	1.8180762435046294	-1.2766405162682206	-2.014994394016552	-2.4408850184778332	0.0562701359805914	1.2352925936819157	0.47458199027728437	3.409417115186721	0.8175757386108026	-2.591495847859567	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0	0.0	0.0	0.0	-1.2766405162682206	-0.0	-0.0	0.0	0.0	0.0	0.0	0.8175757386108026	-0.0
260000	2.5109008478567403	-1.2073365579789088	-3.081315663676062	0.08168111287973577	-1.1560602338578214	-1.3024331689616342	0.3227291098100582	-1.4585386643998808	1.9644574751144626	1.4265975749369626	1.2529669248299835	0.49732809664194827	2.724533776785944	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.0	-0.0	0.0	-1.1560602338578214	-0.0	0.0	-0.0	0.0	0.0	0.0	0.49732809664194827	0.0
280000	0.67764177695074	2.221819173474513	-1.447611130995635	0.4404438500901006	-0.6974132493793259	1.4319681589428406	-0.37367072594257755	-4.208013254133235	2.6606950770464373	-0.5217785580085954	-0.7327132875305269	-0.008057761986521087	0.2577049082491788	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.67764177695074	0.0	-0.0	0.0	-0.6974132493793259	0.0	-0.0	-0.0	0.0	-0.0	-0.7327132875305269	-0.0	0.0
