# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Feb 25 09:42:05 CST 2019 [seed=1551058923968]
# -beagle_SSE DTA_385_sample_tight_100m.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	alpha	default.clock.rate	location.clock.rate	default.meanRate	location.meanRate	location.includedPredictors	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skyline
200000	-51668.86880795942	-4878.94886605055	-46789.91994190887	65.62858956209347	1949.291958383112	2395.876643467186	269.9169012830155	177.08984523572602	256.23374257748793	377.9113800384208	273.4916135004438	427.5119453195625	495.7430194948525	150.83986121814914	65.49554146422615	20.53776285905273	41.0	23.0	68.0	57.0	58.0	16.0	18.0	59.0	42.0	2.0	8.531654753207423	0.4303564586014169	0.0019746182412571133	0.010248984968755329	0.001974618241257116	0.010248984968755342	3.0	0.6106215694829489	0.0	-0.0	-0.0	-0.6823654033499479	-0.0	0.0	0.0	0.0	0.0	-0.6633303037868209	0.0	0.0	-46530.96407783218	0.0	0.0	-258.95586407669373	-2452.5334043953435
220000	-51660.255700725524	-4856.552519260611	-46803.70318146491	60.73999072287079	1954.1805572223348	2307.595484732943	258.20988747886344	315.28380088405544	318.82802497951513	427.93844911627076	203.65454707792696	289.4602456970894	418.3737221885526	160.82664555576312	48.75726404228712	29.82447561796554	31.0	40.0	61.0	60.0	41.0	26.0	20.0	57.0	39.0	9.0	8.38871534777134	0.41821483331908726	0.001965536504331225	0.010495471116769663	0.0019655365043312265	0.010495471116769683	2.0	0.5524498976464403	-0.0	-0.0	0.0	-0.8376758107614871	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-46541.021414723524	0.0	0.0	-262.68176674138226	-2435.7534129885767
240000	-51541.65793562621	-4834.688198975633	-46706.96973665057	60.88486973657184	1954.0356782086337	2255.2051337495404	199.06693065260055	238.2693968698966	186.1122644921834	322.9642421336547	253.07638738140008	214.33684536853636	495.2653436762811	155.43094204496342	52.54325499980382	18.07788401295162	33.0	34.0	46.0	71.0	41.0	35.0	21.0	57.0	39.0	7.0	8.411077082083677	0.4029937922389897	0.0020017373176285124	0.0111208822895397	0.0020017373176285077	0.011120882289539688	2.0	0.5087470403150194	-0.0	0.0	-0.0	-0.696900746898734	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-46448.30380560751	0.0	0.0	-258.66593104306116	-2417.1422030745453
260000	-51346.580427822766	-4819.688949917453	-46526.891477905316	59.996355909840176	1954.9241920353654	2190.1507184085576	220.05852281858455	265.8286414447726	257.9061310581425	438.2341884100065	183.56262582441587	264.40278379366214	306.81693987924217	117.86731240468956	56.199942995423754	9.861891775863779	15.0	42.0	62.0	70.0	55.0	35.0	6.0	52.0	43.0	4.0	9.025724694773391	0.4353837154648061	0.002165329463809985	0.01052508125760579	0.002165329463809988	0.010525081257605802	3.0	0.40753303780317646	0.0	-0.0	-0.0	-0.5699957619834375	0.0	0.0	0.0	0.0	-0.44244103752533775	-0.0	0.0	-0.0	-46270.640303455504	0.0	0.0	-256.25117444981464	-2397.8909779861274
280000	-51300.58685354029	-4792.813534603805	-46507.77331893649	56.39425071585133	1958.5262972293542	2123.6824815415684	220.04973511819398	217.80599739276246	204.4710195221022	313.294840827201	126.66340976211231	335.84536190779454	428.6227301982173	131.3942135874027	54.7316437274374	13.925989668356268	25.0	42.0	66.0	57.0	43.0	31.0	26.0	55.0	31.0	8.0	8.551279013436147	0.41816914682215733	0.0021212281770684764	0.009460293831672819	0.002121228177068473	0.009460293831672817	1.0	0.7400655797602762	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-46246.02512402328	0.0	0.0	-261.74819491320403	-2378.243413320828
300000	-50958.695752487285	-4774.977915150635	-46183.71783733665	60.487064421858015	1954.4334835233474	2054.997259265589	112.09773798718189	220.48835216776249	223.3839394441005	284.2572368984347	106.48751999007914	225.57877899291407	345.69744168544196	127.00912772986366	52.50528578390943	8.327078398598415	15.0	48.0	76.0	52.0	35.0	36.0	29.0	48.0	39.0	6.0	9.146602336811432	0.42830736975688904	0.0022000608574776577	0.01505678109083007	0.0022000608574776603	0.015056781090830062	2.0	0.5729076325885119	-0.0	0.0	0.0	-0.6265939124771693	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-45935.94566099738	0.0	0.0	-247.772176339272	-2352.263687146194
320000	-50931.04778823582	-4774.1461610352035	-46156.90162720061	57.74935947156964	1957.1711884736358	2008.9244236180596	216.07096715312767	212.95332440969815	176.4537580107744	335.0605174802313	74.26302914214827	436.8010422504538	159.6218921121049	64.39342142422016	51.45690795131069	5.990545475807769	10.0	44.0	79.0	69.0	36.0	32.0	38.0	36.0	37.0	3.0	8.468665792799065	0.45789900301784126	0.002313878331215823	0.012696205334271333	0.0023138783312158175	0.01269620533427134	3.0	0.6156748704131182	-0.0	-0.0	-0.0	-0.5596512088762644	-0.0	-0.0	0.0	0.0	-0.0	-0.4133816940729323	-0.0	0.0	-45911.4531895003	0.0	0.0	-245.4484377003088	-2349.5806835422127
340000	-50924.540955644894	-4754.747013020095	-46169.7939426248	56.79953877494283	1958.1210091702626	1956.9231011619465	125.95020272279183	283.46995174597953	181.9657577262117	316.58006974621475	166.1170912277977	354.7155225747444	198.2748438815873	77.20806319450615	62.86755311193719	9.944512998014199	7.0	46.0	77.0	57.0	44.0	29.0	27.0	52.0	41.0	4.0	8.598533270987991	0.415171704864621	0.0022672343658866854	0.010775139374958378	0.0022672343658866854	0.01077513937495837	3.0	0.5363773972729341	-0.0	-0.0	0.0	-0.39757871509735027	0.0	0.0	-0.0	0.0	-0.0	-0.5431728413681939	-0.0	0.0	-45918.3626377952	0.0	0.0	-251.43130482959327	-2338.5577825872933
360000	-50905.31613054199	-4747.673354251263	-46157.642776290726	58.57578582832524	1956.3447621168802	1968.4644559895435	241.60808666415383	247.40611975199084	231.27078094181743	324.53056260477354	96.40729153406845	210.14869877173732	183.40310161664243	91.00288758139321	68.1010986239795	30.484038167835962	13.0	45.0	84.0	55.0	46.0	35.0	9.0	52.0	39.0	6.0	8.802407265253123	0.4422116168101583	0.0022541279621821576	0.011907480998475025	0.002254127962182158	0.011907480998475013	2.0	0.36675043738358304	-0.0	0.0	-0.0	-0.6454121940056273	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-45903.05929925112	0.0	0.0	-254.5834770396018	-2331.5828476004644
380000	-50874.41806408457	-4735.330034918423	-46139.08802916615	57.85961058986789	1957.0609373553375	1897.8221090556112	115.08539278926872	228.09345704893215	249.08012342149345	280.3273998345018	122.1142313566105	282.0259401448978	776.4715271309175	109.81376141150204	50.58109599200084	4.095937071080751	11.0	56.0	79.0	54.0	46.0	33.0	4.0	59.0	41.0	1.0	8.832002605047428	0.4483512623615095	0.002438466979523813	0.012767709965130714	0.002438466979523813	0.01276770996513071	2.0	0.5072641153477537	-0.0	0.0	-0.0	-0.8039626808880149	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-45887.998960265104	0.0	0.0	-251.08906890104538	-2313.3418927157363
400000	-50851.09214454582	-4720.201998713434	-46130.89014583239	55.31712314947033	1959.6034247957352	1857.304767151366	80.31402209458979	231.5112102543495	175.42218433901127	230.68969923395633	134.86991568866782	304.79214420406055	179.31088852548845	101.54582493217772	43.87525385369586	6.742528808816605	2.0	51.0	72.0	69.0	47.0	40.0	2.0	56.0	40.0	5.0	8.544256003478482	0.42481786549275946	0.0023650398328661504	0.01745575743481549	0.002365039832866151	0.0174557574348155	2.0	0.0	0.0	-0.0	-0.0	-1.3301921394583136	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.6815103871994586	-0.0	-45880.337014049204	0.0	0.0	-250.55313178318622	-2296.5269114471653
420000	-50832.92223199667	-4693.031834515816	-46139.890397480856	58.114968455039154	1956.8055794901663	1835.640248128203	204.2714936957405	206.69943013996786	158.96593388949415	260.316027535221	99.58313944673912	270.25453352522334	138.09687594612893	78.32448461136649	59.12242413641247	9.394239846200325	14.0	46.0	77.0	65.0	38.0	46.0	5.0	52.0	35.0	6.0	8.689421152316305	0.4653682125000604	0.002425302528214476	0.010511979914541364	0.002425302528214473	0.010511979914541357	2.0	0.46960782304021526	-0.0	-0.0	0.0	-0.7502456949187214	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-45878.89006610694	0.0	0.0	-261.0003313739144	-2282.344412072699
440000	-50826.89718830919	-4682.3554453042925	-46144.5417430049	56.036411478433436	1958.8841364667721	1788.586419959062	130.38407629745393	213.56840437742645	142.3503496798304	276.4396087378491	130.18192704316454	263.19145861137855	478.8500933704361	79.30838584361462	43.133992195356484	7.4248948548914315	14.0	48.0	67.0	62.0	42.0	51.0	4.0	56.0	33.0	7.0	9.05378942631873	0.44759493125662325	0.00252733140998255	0.01023737218689337	0.0025273314099825504	0.010237372186893376	3.0	-0.0	-0.0	-0.0	0.9465552215782109	-0.9741523396120193	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.5749039598980521	-0.0	-45889.661280465545	0.0	0.0	-254.88046253934965	-2270.316536830535
460000	-50779.58022044839	-4673.929600277331	-46105.65062017106	51.543782687250506	1963.376765257955	1759.32401995076	116.38741728753138	180.04311970037006	177.01804106606085	212.6019954310347	109.2408979116698	274.80839864997984	50.24164604017604	116.16177296485323	42.95241096782929	6.727126930003398	14.0	51.0	67.0	72.0	42.0	43.0	2.0	47.0	39.0	7.0	8.738942696787255	0.43466946702066467	0.002528347659725174	0.013135259365061984	0.002528347659725176	0.013135259365061991	2.0	0.0	0.0	-0.0	0.0	-1.4852983014809273	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.7657312659334888	-0.0	-45848.979239469845	0.0	0.0	-256.6713807012148	-2262.6903091922113
480000	-50784.31896968112	-4680.864594719269	-46103.454374961846	55.007659859259356	1959.9128880859462	1783.7590857030843	177.0987332939276	133.10125262900914	200.68013466844468	247.86713698463885	143.2975641089942	200.1367515781042	103.29376503534392	75.01191149022739	63.88842529715918	13.571466591481393	36.0	49.0	63.0	65.0	38.0	40.0	3.0	37.0	46.0	7.0	9.156458668455473	0.42221668022736714	0.0024993257144914458	0.010414517141196185	0.002499325714491444	0.01041451714119619	3.0	0.0	0.0	-0.0	1.1079821761312363	-1.2111460335815982	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.7257822599096047	-0.0	-45849.3645645963	0.0	0.0	-254.089810365549	-2272.2841704453062
500000	-50774.58460687983	-4669.358675035513	-46105.22593184432	52.66622442514956	1962.254323520056	1781.512032644359	145.25236168067738	89.93111927006395	188.45713667352553	250.11204857542407	72.8376859199437	199.39112040810488	248.57738325609637	58.88999399868257	63.40176368640498	5.402464648439113	46.0	36.0	69.0	63.0	32.0	37.0	13.0	34.0	47.0	7.0	8.813236087914955	0.40728581846041834	0.0024800708439309802	0.00843701772501441	0.002480070843930977	0.008437017725014404	2.0	0.0	0.0	-0.0	-0.0	-1.610158183953677	-0.0	-0.0	-0.0	0.0	0.0	0.0	1.0206479745333585	0.0	-45836.46540058803	0.0	0.0	-268.760531256286	-2259.2391278296545
