location	gdp
Bangladesh	61646756013.33097
China	2352618141458.53
HongKong	158439704354.5717
India	712405049839.1522
Iran	227315817431.43924
Israel	131692306000.23187
Japan	4422420900066.145
Pakistan	95596096175.32655
SaudiArabia	270639250273.71304
SouthKorea	642202628265.4806
UnitedArabEmirates	143682416048.9954
VietNam	51687201526.0875
