location	year	rainfall_total
Iran	1997	233.19637
Israel	1997	294.61862
Japan	1997	1584.8978
Pakistan	1997	374.01189
Saudi Arabia	1997	82.1358
South Korea	1997	1339.8113
United Arab Emirates	1997	135.2858
Viet Nam	1997	1810.7486
Bangladesh	1996	2282.51289
China	1996	588.34772
Hong Kong	1996	2249.15
India	1996	1023.25487
Iran	1996	278.84403
Israel	1996	216.48549
Japan	1996	1352.9371
Pakistan	1996	337.47526
Saudi Arabia	1996	83.37406
South Korea	1996	1205.1623
United Arab Emirates	1996	85.45629000000001
Viet Nam	1996	1920.3358
Bangladesh	1995	2355.0813
China	1995	569.3455700000001
Hong Kong	1995	2754.4
India	1995	1065.81321
Iran	1995	224.02257
Israel	1995	159.4942
Japan	1995	1499.7981
Pakistan	1995	349.96972999999997
Saudi Arabia	1995	93.41785
South Korea	1995	1116.2498
United Arab Emirates	1995	91.75655
Viet Nam	1995	1832.8137
Bangladesh	1994	1869.16512
China	1994	586.6436
Hong Kong	1994	2725.65
India	1994	1149.30931
Iran	1994	223.3388
Israel	1994	384.79048
Japan	1994	1208.2513999999999
Pakistan	1994	427.20627
Saudi Arabia	1994	60.22974
South Korea	1994	941.9309000000001
United Arab Emirates	1994	30.324019999999997
Viet Nam	1994	2103.6185
Bangladesh	1993	2660.52343
China	1993	604.17774
Hong Kong	1993	2343.9
India	1993	988.99821
Iran	1993	255.58424
Israel	1993	208.88251
Japan	1993	1926.0329000000002
Pakistan	1993	238.74265
Saudi Arabia	1993	119.48186
South Korea	1993	1518.3476
United Arab Emirates	1993	84.9577
Viet Nam	1993	1620.0703
Bangladesh	1992	1869.93898
China	1992	553.5782
Hong Kong	1992	2678.7999999999997
India	1992	912.08529
Iran	1992	274.96981
Israel	1992	388.85858
Japan	1992	1506.0633
Pakistan	1992	381.62947
Saudi Arabia	1992	82.13359
South Korea	1992	1179.2062
United Arab Emirates	1992	95.20629
Viet Nam	1992	1661.9536
Bangladesh	1991	2692.0622
China	1991	568.9326
Hong Kong	1991	1639.1000000000001
India	1991	1006.4326
Iran	1991	263.54515
Israel	1991	397.8603
Japan	1991	1818.1583
Pakistan	1991	295.67923
Saudi Arabia	1991	70.57828
South Korea	1991	1398.7845
United Arab Emirates	1991	46.41298
Viet Nam	1991	1600.6554
Bangladesh	1990	2818.2021299999997
China	1990	624.6815
Hong Kong	1990	2046.9
India	1990	1226.57991
Iran	1990	162.28475
Israel	1990	206.32736
Japan	1990	1718.1883
Pakistan	1990	390.77166
Saudi Arabia	1990	52.16086
South Korea	1990	1657.2138
United Arab Emirates	1990	54.677009999999996
Viet Nam	1990	1934.259
Bangladesh	1989	2152.2139500000003
China	1989	566.5187
Hong Kong	1989	1944.6
India	1989	979.2346200000001
Iran	1989	189.02097
Israel	1989	203.04139
Japan	1989	1832.6179
Pakistan	1989	310.02675
Saudi Arabia	1989	91.25344
South Korea	1989	1513.8188
United Arab Emirates	1989	90.75948
Viet Nam	1989	1696.27917
Bangladesh	1988	2935.8574
China	1988	558.10431
Hong Kong	1988	1685
India	1988	1164.96337
Iran	1988	235.48251
Israel	1988	323.55146
Japan	1988	1598.9479
Pakistan	1988	315.58039
Saudi Arabia	1988	78.96281
South Korea	1988	975.5485
United Arab Emirates	1988	79.27385
Viet Nam	1988	1689.4166
Bangladesh	1987	2760.76489
China	1987	583.86717
Hong Kong	1987	2319.3
India	1987	910.3813
Iran	1987	217.66855999999999
Israel	1987	244.68136
Japan	1987	1501.5661
Pakistan	1987	237.06622000000002
Saudi Arabia	1987	74.02551
South Korea	1987	1575.40911
United Arab Emirates	1987	129.87395
Viet Nam	1987	1580.4129
Bangladesh	1986	2467.65193
China	1986	522.35877
Hong Kong	1986	2338.35
India	1986	957.7233
Iran	1986	285.88369
Israel	1986	312.88476000000003
Japan	1986	1416.1663
Pakistan	1986	347.21583
Saudi Arabia	1986	79.7281
South Korea	1986	1293.7451
United Arab Emirates	1986	74.70587
Viet Nam	1986	2110.13136
