location	year	temperature_sd
Hong Kong	1994	4.448995460332658
India	1994	4.304646591765693
Iran	1994	8.692033879894122
Israel	1994	6.2126776915445365
Japan	1994	9.219139713962173
Pakistan	1994	7.240319041097222
Saudi Arabia	1994	6.411707769025252
South Korea	1994	10.20634523059686
United Arab Emirates	1994	5.627758334175232
Viet Nam	1994	2.5249516213037113
Bangladesh	1993	3.496743907573375
China	1993	9.786449430427329
Hong Kong	1993	5.03259075397252
India	1993	4.405679615194734
Iran	1993	8.668584800251642
Israel	1993	6.534856056475965
Japan	1993	7.515121742427014
Pakistan	1993	7.240678805712429
Saudi Arabia	1993	6.762783986906621
South Korea	1993	8.78646532795116
United Arab Emirates	1993	5.775710022677784
Viet Nam	1993	3.0855331129541232
Bangladesh	1992	4.1889454685408705
China	1992	9.823392400696443
Hong Kong	1992	5.083566810336175
India	1992	4.563333215740309
Iran	1992	8.865560138531087
Israel	1992	6.718963680349583
Japan	1992	7.963892825872967
Pakistan	1992	7.179167699432293
Saudi Arabia	1992	6.825564590877624
South Korea	1992	9.010327713368657
United Arab Emirates	1992	6.333936690031984
Viet Nam	1992	3.1597217042299497
Bangladesh	1991	3.854205264727284
China	1991	10.13577483639315
Hong Kong	1991	4.656731849178296
India	1991	4.468954428017472
Iran	1991	8.711666877916524
Israel	1991	5.849519763038827
Japan	1991	8.416782536587064
Pakistan	1991	7.554503106909901
Saudi Arabia	1991	6.101893441954694
South Korea	1991	9.466976282737704
United Arab Emirates	1991	5.052408197200259
Viet Nam	1991	2.547260056487909
Bangladesh	1990	3.3615702014111135
China	1990	9.840412487403436
Hong Kong	1990	4.955498935220318
India	1990	3.9769744938168383
Iran	1990	9.101543557473693
Israel	1990	5.761842265223701
Japan	1990	8.456377140864902
Pakistan	1990	7.494348631327394
Saudi Arabia	1990	6.512419744884432
South Korea	1990	9.469916256193473
United Arab Emirates	1990	5.615884097881057
Viet Nam	1990	2.5940064845804556
Bangladesh	1989	4.091916304869957
China	1989	9.85754256703603
Hong Kong	1989	4.9306324506736825
India	1989	4.498775707564192
Iran	1989	9.600208313513031
Israel	1989	6.441891713284369
Japan	1989	7.898675980331939
Pakistan	1989	7.3742802048205585
Saudi Arabia	1989	7.0592540708182225
South Korea	1989	8.72688344333795
United Arab Emirates	1989	5.965935417186936
Viet Nam	1989	2.9573627628575365
Bangladesh	1988	3.2821971535155305
China	1988	10.092463322002397
Hong Kong	1988	5.025359929820195
India	1988	4.285828244156442
Iran	1988	8.66775329806561
Israel	1988	6.346218938213716
Japan	1988	8.54107784632715
Pakistan	1988	7.366171202454069
Saudi Arabia	1988	6.7419946969395195
South Korea	1988	9.811920084957077
United Arab Emirates	1988	5.8133646555509575
Viet Nam	1988	2.76230838655358
Bangladesh	1987	3.496586345269375
China	1987	9.750678896491312
Hong Kong	1987	4.401927952269289
India	1987	4.424379481804782
Iran	1987	8.198356245489737
Israel	1987	5.774845199833971
Japan	1987	8.579984547967472
Pakistan	1987	7.2569803011438685
Saudi Arabia	1987	6.444928047180459
South Korea	1987	9.343849999032258
United Arab Emirates	1987	5.755163043177891
Viet Nam	1987	2.950537828772096
Bangladesh	1986	3.431524099324151
China	1986	10.144464369808249
Hong Kong	1986	5.300142936894735
India	1986	4.37085728734806
Iran	1986	8.817012541851156
Israel	1986	5.909779383893097
Japan	1986	8.853071776272534
Pakistan	1986	7.731576847194806
Saudi Arabia	1986	6.761117781824021
South Korea	1986	9.73191919454319
United Arab Emirates	1986	6.006840291751235
Viet Nam	1986	2.834819258775459
