location	production
Bangladesh	180152.92857142858
China	4017606.4285714286
HongKong	3138.964285714286
India	453375.35714285716
Iran	414641.0714285714
Israel	33607.892857142855
Japan	298253.1785714286
Pakistan	200151.9642857143
SaudiArabia	116217.85714285714
SouthKorea	104532
UnitedArabEmirates	12468.92857142857
VietNam	190420.67857142858
